business_unit_id,store_id,node_id,sku_id,day,demand,available,event_time,available_time
hq-001,store-001,node-001,sku-milk,2026-01-01,5,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
hq-001,store-001,node-001,sku-water,2026-01-01,3,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
hq-001,store-001,node-001,sku-milk,2026-01-02,5.2,true,2026-01-02T00:00:00+00:00,2026-01-02T00:00:00+00:00
hq-001,store-001,node-001,sku-water,2026-01-02,3.1,true,2026-01-02T00:00:00+00:00,2026-01-02T00:00:00+00:00
hq-001,store-001,node-001,sku-milk,2026-01-03,6.4,true,2026-01-03T00:00:00+00:00,2026-01-03T00:00:00+00:00
hq-001,store-001,node-001,sku-water,2026-01-03,3.8,true,2026-01-03T00:00:00+00:00,2026-01-03T00:00:00+00:00
hq-001,store-001,node-001,sku-milk,2026-01-04,6.1,true,2026-01-04T00:00:00+00:00,2026-01-04T00:00:00+00:00
hq-001,store-001,node-001,sku-water,2026-01-04,3.7,true,2026-01-04T00:00:00+00:00,2026-01-04T00:00:00+00:00
hq-001,store-001,node-001,sku-milk,2026-01-05,5.3,true,2026-01-05T00:00:00+00:00,2026-01-05T00:00:00+00:00
hq-001,store-001,node-001,sku-water,2026-01-05,3.2,true,2026-01-05T00:00:00+00:00,2026-01-05T00:00:00+00:00
